s3key,date,sender,subject,classification,action,oppId,inLedger,attachments
db5d88n4kkmv,"Fri, 14 Aug 2026 19:17:40 +0000",BidNet Direct <noreply@bidnet.com>,New answer published for RFP_F-0000000014 - Information Technology Managed Service Provider solicita,UNRELATED,IGNORED,,yes,0
c85lo2mtts8m,"Fri, 14 Aug 2026 19:32:02 +0000","""'noreply@esmsolutions.com' via Proposals"" <proposals@horust","You have been selected to participate in Event ID 26RFP-SW1045, NASPO ValuePoint Emerging Technologi",UNRELATED,IGNORED,,yes,0
jigbico73ejb,"Fri, 14 Aug 2026 19:52:47 +0000",BidNet Direct <noreply@bidnet.com>,New answer published for RFP_F-0000000014 - Information Technology Managed Service Provider solicita,UNRELATED,IGNORED,,yes,0
2m5jb85dptdp,"Fri, 14 Aug 2026 19:58:59 +0000",BidNet Direct <noreply@bidnet.com>,New answer published for RFP_F-0000000014 - Information Technology Managed Service Provider solicita,UNRELATED,IGNORED,,yes,0
rcn4gkhl53c4,"Fri, 14 Aug 2026 20:56:07 +0000",BidNet Direct <noreply@bidnet.com>,Award(s) Published for SSN-WCSS26057 - Proposed Sole Source Award: Facial Recognition Search Softwar,AWARD_NOTICE,FLAGGED_FOR_REVIEW,,yes,0
6fp7fndl4a8n,"Fri, 14 Aug 2026 21:11:05 +0000",BidNet Direct <noreply@bidnet.com>,Riverbay Corporation Has Published a New Solicitation Matching Your Profile,UNRELATED,IGNORED,,yes,0
o82c92dntd13,"Fri, 14 Aug 2026 21:20:42 +0000","""Bravek, Karen"" <Karen.Bravek@SDSTATE.EDU>",RFP SDBOR06262026 - SDBOR Enterprise AI Platform Implementation Services,AWARD_NOTICE,FLAGGED_FOR_REVIEW,,yes,7
i9reb5kdidd0,"Fri, 14 Aug 2026 21:50:54 -0000","""'City of Laguna Beach Opportunity Alerts' via Proposals"" <p",Opportunity Alert: Geographical Information Systems (GIS) Professional Support Services (IT-27-001),UNRELATED,IGNORED,,yes,0
h2mb4374b4al,"Fri, 14 Aug 2026 22:09:04 -0700",Michael Walker <michael@horustech.dev>,Fwd: Your incident INC-GSAFSD21487803 requires a response,UNRELATED,IGNORED,,yes,5
vcmrabi5aa0k,"Fri, 14 Aug 2026 22:10:30 -0700",Michael Walker <michael@horustech.dev>,Fwd: RFP SDBOR06262026 - SDBOR Enterprise AI Platform Implementation Services,AWARD_NOTICE,FLAGGED_FOR_REVIEW,,yes,7
jvk6pfdpv3ob,"Fri, 14 Aug 2026 22:36:15 +0000","""'Snohomish County' via Proposals"" <proposals@horustech.dev>",Snohomish County Bid RFP-26-0774SB-S Addendum,UNRELATED,IGNORED,,yes,0
obc93sn2d5kk,"Mon, 17 Aug 2026 10:45:42 -0700","""Jeanette MartinezCastaneda (Purchasing Department)"" <jeanet","Re: California Public Records Act Request – RFP No . 26-22, Data Management and Business Intelligenc",OUR_OWN_REQUEST,OWN_REQUEST_LOGGED,92e0e4fe-6677-45f2-b872-b092ffd454f0,yes,0
frlbqtfbnkrd,"Mon, 17 Aug 2026 10:49:24 -0500",Brennen Stones <brennen@horustech.dev>,"Public Records Request – RFP 26-07, Labor Relation s & Collective Bargaining Management Software",OUR_OWN_REQUEST,OWN_REQUEST_LOGGED,,yes,0
7jam5k9n53uh,"Mon, 17 Aug 2026 10:56:41 -0500",Brennen Stones <brennen@horustech.dev>,Public Records Request - RFP #SDBOR06262026 - SDBOR Enterprise AI Platform Implementation Services,OUR_OWN_REQUEST,OWN_REQUEST_LOGGED,,yes,0
0hmnrjqi6e14,"Mon, 17 Aug 2026 11:01:57 -0700",Michael Walker <michael@horustech.dev>,Fwd: Aws Cloud Consulting contracts,UNRELATED,IGNORED,,yes,0
289fd8tbnfva,"Mon, 17 Aug 2026 11:04:39 +0000",BidNet Direct <noreply@bidnet.com>,"Approaching Bid Intent Deadline on the ""RFP # 27-001 Statewide College Technology Refresh Program"" s",UNRELATED,IGNORED,,yes,0
9pmpe50cdss7,"Mon, 17 Aug 2026 11:05:02 -0500",Brennen Stones <brennen@horustech.dev>,California Public Records Act Request — RFP #DCFS2 6-02 (Website Support Services and Maintenance),OUR_OWN_REQUEST,OWN_REQUEST_LOGGED,,yes,0
m0b1oe40nomd,"Mon, 17 Aug 2026 11:10:18 +0000",HigherGov <subscriptions@highergov.com>,HigherGov Grant Opportunities for 08/17/2026,UNRELATED,IGNORED,,yes,0
9sqem1ljcnq4,"Mon, 17 Aug 2026 11:11:44 -0500",Brennen Stones <brennen@horustech.dev>,California Public Records Act Request – RFP # 0412 2023 AI ADVISORY SERVICE MK (UC Davis Health),OUR_OWN_REQUEST,OWN_REQUEST_LOGGED,,yes,0
kmoqn2flj4gp,"Mon, 17 Aug 2026 11:19:54 -0700",Michael Walker <michael@horustech.dev>,"Fwd: Approaching closing date on the ""Request for Proposals for Cloud-based Website and Digital Serv",UNRELATED,IGNORED,,yes,0
etug8g8m9cnd,"Mon, 17 Aug 2026 11:22:10 -0500",Brennen Stones <brennen@horustech.dev>,California Public Records Act Request — RFP: On-De mand Energy Rate Comparison and Cost Analysis Too,OUR_OWN_REQUEST,OWN_REQUEST_LOGGED,,yes,0
mp1kpoptp799,"Mon, 17 Aug 2026 11:24:11 +0000",HigherGov <subscriptions@highergov.com>,HigherGov State and Local Opportunities for 08/17/2026,UNRELATED,IGNORED,,yes,0
sucf5e88jqq6,"Mon, 17 Aug 2026 11:45:05 +0000",HigherGov <subscriptions@highergov.com>,HigherGov Federal Opportunities for 08/17/2026,UNRELATED,IGNORED,,yes,0
5o7t7sauviit,"Mon, 17 Aug 2026 11:48:42 +0000",HigherGov <subscriptions@highergov.com>,HigherGov Saved Search Update 08/17/2026,UNRELATED,IGNORED,,yes,0
jh3mg9ld9qrd,"Mon, 17 Aug 2026 11:53:23 -0500",Brennen Stones <brennen@horustech.dev>,"California Public Records Act Request – RFP No. 20 26-RFP-00196, E-Fax Migration and Solution",OUR_OWN_REQUEST,OWN_REQUEST_LOGGED,,yes,0
86t73ltbfmfk,"Mon, 17 Aug 2026 12:05:25 -0500",Brennen Stones <brennen@horustech.dev>,"California Public Records Act Request – RFP 2026-R FP-00012, Agenda Management Software (Records and",OUR_OWN_REQUEST,OWN_REQUEST_LOGGED,,yes,0
cvfodjo47ucp,"Mon, 17 Aug 2026 12:13:44 -0400","""'LAFPP_CPRA' via Proposals"" <proposals@horustech.dev>",We have received your CPRA / FOIA request. CPRA-0319,UNRELATED,IGNORED,,yes,0
ce9mrkq2imo2,"Mon, 17 Aug 2026 12:15:52 -0500",Brennen Stones <brennen@horustech.dev>,"California Public Records Act Request – RFP FM-26- 715, Predictive Maintenance Telematics & Analytic",OUR_OWN_REQUEST,OWN_REQUEST_LOGGED,,yes,0
j3i3loeiqg6p,"Mon, 17 Aug 2026 12:33:14 -0500",Brennen Stones <brennen@horustech.dev>,"California Public Records Act Request – RFP No. 26 -22, Data Management and Business Intelligence Pl",OUR_OWN_REQUEST,OWN_REQUEST_LOGGED,92e0e4fe-6677-45f2-b872-b092ffd454f0,yes,0
g4ehkf0fdgq6,"Mon, 17 Aug 2026 13:21:53 -0400","""'City of Long Beach Purchasing' via Proposals"" <proposals@h",Join us for our Next Doing Business with the City of Long Beach Webinar!,UNRELATED,IGNORED,,yes,0
vogk0hhefugu,"Mon, 17 Aug 2026 13:48:43 -0500",Brennen Stones <brennen@horustech.dev>,Public Records Request - Solicitation #1412112246 (Transition Assessment and Readiness Services for ,OUR_OWN_REQUEST,OWN_REQUEST_LOGGED,6ff2727e-167c-4422-b219-35911e1a7ccf,yes,0
qutvl0pebuuc,"Mon, 17 Aug 2026 13:52:11 -0500",Brennen Stones <brennen@horustech.dev>,California Public Records Act Request - RFP TSD-20261923 (Implementation of Microsoft's IAM Solution,OUR_OWN_REQUEST,OWN_REQUEST_LOGGED,80f93cb2-7ecb-49d0-9627-04f31d6d0c6c,yes,0
9ccbqdbm9vnq,"Mon, 17 Aug 2026 14:03:30 -0400","""'Deltek Events' via Proposals"" <proposals@horustech.dev>",Last Chance: Growth Strategies in a Shifting GovCon Market,UNRELATED,IGNORED,,yes,0
848ko1tghclg,"Mon, 17 Aug 2026 15:54:15 +0000","""'Rob Orvis' via Proposals"" <proposals@horustech.dev>","RE: Public Records Request – RFP 26-07, Lab or Relations & Collective Bargaining Manageme nt Softwar",OUR_OWN_REQUEST,OWN_REQUEST_LOGGED,,yes,0
6bh3ncdo9e10,"Mon, 17 Aug 2026 16:11:23 +0000","""'Kristen Marie Ruitenbach' via Proposals"" <proposals@horust",Re: [EXTERNAL] California Public Records Act Request �  RFP #DCFS26-02 (Website Support Services and,OUR_OWN_REQUEST,OWN_REQUEST_LOGGED,,yes,0
c45a0rvv823u,"Mon, 17 Aug 2026 16:32:52 +0000",Linear <notifications@linear.app>,2 unread notifications on Horustech,UNRELATED,IGNORED,,yes,0
5ffr6g6plt1n,"Mon, 17 Aug 2026 16:40:51 +0000","""'LB Purchasing' via Proposals"" <proposals@horustech.dev>","LA28 Opportunities - Mobile Food Service, Construction, Computer Systems Design",UNRELATED,IGNORED,,yes,1
3naphpljvpci,"Mon, 17 Aug 2026 16:42:34 +0000",BidNet Direct <noreply@bidnet.com>,Award(s) Published for 4310 - Microsoft Licenses Renewal,AWARD_NOTICE,FLAGGED_FOR_REVIEW,,yes,0
3bkotgg9tq8s,"Mon, 17 Aug 2026 16:48:34 +0000",BidNet Direct <noreply@bidnet.com>,Award(s) Published for 4303 - Cisco VPN Licenses Renewals,AWARD_NOTICE,FLAGGED_FOR_REVIEW,,yes,0
gnpiqv2sfe27,"Mon, 17 Aug 2026 16:49:31 +0000",BidNet Direct <noreply@bidnet.com>,Addendum from BidNet Direct for Data Modeling Computers for Southeast Michigan Council of Government,UNRELATED,IGNORED,,yes,0
lanfoc9kkmg5,"Mon, 17 Aug 2026 17:19:29 +0000","""'RFP Purchasing' via Proposals"" <proposals@horustech.dev>","Re: California Public Records Act Request � RFP FM-26- 715, Predictive Maintenance Telematics & Anal",OUR_OWN_REQUEST,OWN_REQUEST_LOGGED,,yes,4
04tvnbq4teg4,"Mon, 17 Aug 2026 17:19:42 +0000","""'Clerk Mailbox' via Proposals"" <proposals@horustech.dev>","RE: California Public Records Act Request –  RFP 2026-RFP-00012, Agenda Management Softwa re (Record",OUR_OWN_REQUEST,OWN_REQUEST_LOGGED,,yes,0
vm1bggh5g82u,"Mon, 17 Aug 2026 17:35:39 +0000",BidNet Direct <noreply@bidnet.com>,Addendum from BidNet Direct for Relationship Management Platform solicitation for Jefferson County,UNRELATED,IGNORED,,yes,0
73c0v51dhr2q,"Mon, 17 Aug 2026 18:22:35 +0000",BidNet Direct <noreply@bidnet.com>,New answer published for RFP_F-0000000014 - Information Technology Managed Service Provider solicita,UNRELATED,IGNORED,,yes,0
691nee5opieg,"Mon, 17 Aug 2026 18:25:46 +0000",BidNet Direct <noreply@bidnet.com>,New answer published for RFP_F-0000000014 - Information Technology Managed Service Provider solicita,UNRELATED,IGNORED,,yes,0
0kmrlenn7idl,"Mon, 17 Aug 2026 18:28:41 +0000",BidNet Direct <noreply@bidnet.com>,New answer published for RFP_F-0000000014 - Information Technology Managed Service Provider solicita,UNRELATED,IGNORED,,yes,0
f2lfhc4caf6n,"Mon, 17 Aug 2026 18:34:40 +0000",BidNet Direct <noreply@bidnet.com>,New answer published for RFP_F-0000000014 - Information Technology Managed Service Provider solicita,UNRELATED,IGNORED,,yes,0
4vhggdq9ni49,"Sat, 15 Aug 2026 11:24:28 +0000",BidNet Direct <noreply@bidnet.com>,"Approaching closing date on the ""RFP # 27-001 Statewide College Technology Refresh Program"" solicita",UNRELATED,IGNORED,,yes,0
6sfl9mddfkn3,"Sun, 16 Aug 2026 11:23:33 +0000",BidNet Direct <noreply@bidnet.com>,"Approaching closing date on the ""Request for Proposals for Cloud-based Website and Digital Services ",UNRELATED,IGNORED,,yes,0
sjoc6ifaogpf,"Sun, 16 Aug 2026 13:27:15 +0000",Claude Team <no-reply@email.claude.com>,Getting started with Claude Cowork,UNRELATED,IGNORED,,yes,0
lm17f7l6iiik,"Thu, 13 Aug 2026 04:43:52 +0000",Michael Walker <michael@horustech.dev>,Fwd: Partner Central Agents Day: new dates and cities now open,UNRELATED,IGNORED,,NO,0
jni8f6ktl6ij,"Thu, 13 Aug 2026 09:19:58 -0700",Stevan Kassis <stevan@horustech.dev>,Fwd: Cancelled: 26-061 - Digital Training Log and Certification of Public Works,SOLICITATION_CANCELLED,FLAGGED_FOR_REVIEW,,yes,0
i3o2h82ak04i,"Thu, 13 Aug 2026 09:20:16 -0700",Stevan Kassis <stevan@horustech.dev>,"Fwd: California Public Records  Act Request – IFB C25910004,  Lifeguard Dispatch Software Services, ",OUR_OWN_REQUEST,OWN_REQUEST_LOGGED,,yes,1
p1a3vs5829u7,"Thu, 13 Aug 2026 09:20:29 -0700",Stevan Kassis <stevan@horustech.dev>,"Fwd: [External] Freedom of Information Act Request –  Solicitation No. 5400028096, DNR Website and H",FOIA_RESPONSE,FLAGGED_FOR_REVIEW,,yes,1
57k9ipvt8le8,"Thu, 13 Aug 2026 09:20:39 -0700",Stevan Kassis <stevan@horustech.dev>,"Fwd: ""Award"" for the 4142 solicitation has been cancelled",SOLICITATION_CANCELLED,FLAGGED_FOR_REVIEW,,yes,0
pgbeq7916fvl,"Thu, 13 Aug 2026 09:21:20 -0700",Stevan Kassis <stevan@horustech.dev>,Fwd: Addendum from BidNet Direct for Fire Protection District Enterprise Technology/Software Platfor,UNRELATED,IGNORED,,yes,1
615sciteu2kj,"Thu, 13 Aug 2026 09:22:12 -0700",Stevan Kassis <stevan@horustech.dev>,"Fwd: [External] Freedom of Information Act Request –  Solicitation No. 5400028096, DNR Website and H",FOIA_RESPONSE,FLAGGED_FOR_REVIEW,,yes,1
l7se2h195ois,"Thu, 13 Aug 2026 09:34:34 -0700",Stevan Kassis <stevan@horustech.dev>,Fwd: Award(s) Published for HACSC2026-RFP-03 - REQUEST FOR PROPOSALS FOR WEBSITE AND INTRANET DESIGN,AWARD_NOTICE,FLAGGED_FOR_REVIEW,,yes,0
vrl3d7c7m5q2,"Thu, 13 Aug 2026 09:35:31 -0700",Stevan Kassis <stevan@horustech.dev>,Fwd: California Public Records  Act Request – RFP #2025-RFP-016  (Cloud-Based Document Management So,FOIA_RESPONSE,FLAGGED_FOR_REVIEW,,yes,2
pm4tl45k4m77,"Thu, 13 Aug 2026 09:35:48 -0700",Stevan Kassis <stevan@horustech.dev>,"Fwd: California Public Records  Act Request – IFB C25910004,  Lifeguard Dispatch Software Services, ",OUR_OWN_REQUEST,OWN_REQUEST_LOGGED,,yes,1
lolials8sv9a,"Thu, 13 Aug 2026 11:03:58 +0000",BidNet Direct <noreply@bidnet.com>,"Approaching Bid Intent Deadline on the ""RFP # 27-001 Statewide College Technology Refresh Program"" s",UNRELATED,IGNORED,,NO,0
p532v75lvc38,"Thu, 13 Aug 2026 11:08:38 +0000",HigherGov <subscriptions@highergov.com>,HigherGov Grant Opportunities for 08/13/2026,UNRELATED,IGNORED,,NO,0
tkrkes25n1re,"Thu, 13 Aug 2026 11:35:45 +0000",HigherGov <subscriptions@highergov.com>,HigherGov Saved Search Update 08/13/2026,UNRELATED,IGNORED,,NO,0
4su2ga2osqqb,"Thu, 13 Aug 2026 13:37:19 -0400","""MDCBidNotice.DoNotReply via Proposals"" <proposals@horustech",Miami-Dade County Your bid has been received,UNRELATED,IGNORED,,yes,1
i3c7129uibf7,"Thu, 13 Aug 2026 13:49:09 +0000",BidNet Direct <noreply@bidnet.com>,Addendum from BidNet Direct for RFP for Tourism Intelligence Platform & Analytics Services for Warre,UNRELATED,IGNORED,,NO,0
0v0gsbq39lvb,"Thu, 13 Aug 2026 15:00:11 +0000",Linear <notifications@linear.app>,2 unread notifications on Horustech,UNRELATED,IGNORED,,NO,0
n31glmd4vfmt,"Thu, 13 Aug 2026 15:54:12 +0000",BidNet Direct <noreply@bidnet.com>,Addendum from BidNet Direct for IFB Invitation to Bid for Records and Information Management Service,UNRELATED,IGNORED,,NO,0
3kek85dpiu19,"Thu, 13 Aug 2026 16:31:16 +0000",BidNet Direct <noreply@bidnet.com>,Westchester County - Purchasing Has Published a New Solicitation Matching Your Profile,UNRELATED,IGNORED,,yes,0
i3l0889miioo,"Thu, 13 Aug 2026 17:34:22 -0000","""'PlanetBids' via Proposals"" <proposals@horustech.dev>",Santa Clara Valley Water District Registration Confirmation,UNRELATED,IGNORED,,yes,0
12j738vh3n19,"Thu, 13 Aug 2026 17:59:23 +0000",Claude Team <no-reply@email.claude.com>,Welcome to Claude. Let’s get you set up.,UNRELATED,IGNORED,,yes,0
qv5cerrl93m5,"Thu, 13 Aug 2026 18:02:42 -0700",Jeanne Kitchens <jkitchens@credentialengine.org>,Re: Horus Technology response: Scaling CTDL xTRA Platform RFP,UNRELATED,IGNORED,,yes,0
m24dpck7ftnj,"Thu, 13 Aug 2026 18:05:31 +0000",BidNet Direct <noreply@bidnet.com>,Charter Township of Independence Has Published a New Solicitation Matching Your Profile,UNRELATED,IGNORED,,yes,0
prjjve93kkf1,"Thu, 13 Aug 2026 19:45:34 +0000",BidNet Direct <noreply@bidnet.com>,SANDAG Has Published a New Solicitation Matching Your Profile,UNRELATED,IGNORED,,NO,0
d65fcl1v17on,"Thu, 13 Aug 2026 20:07:04 -0000","""'PlanetBids' via Proposals"" <proposals@horustech.dev>",Contra Costa Water District Registration Confirmation,UNRELATED,IGNORED,,yes,0
lbsg7e8miqp2,"Thu, 13 Aug 2026 20:37:39 +0000",Michael Walker <michael@horustech.dev>,Fwd: SANDAG Has Published a New Solicitation Matching Your Profile,UNRELATED,IGNORED,,yes,0
s7lq6j1hsgq8,"Thu, 13 Aug 2026 20:43:41 +0000",BidNet Direct <noreply@bidnet.com>,Award(s) Published for RFQ-WC260546 - PDF GENERATION SOFTWARE RENEWAL,AWARD_NOTICE,FLAGGED_FOR_REVIEW,,yes,0
5p21r2tpfhve,"Thu, 13 Aug 2026 21:13:35 +0000",Amazon Quick <no-reply@quick.aws.com>,Welcome to Amazon Quick,UNRELATED,IGNORED,,yes,1
f3nsbi2abrgo,"Thu, 13 Aug 2026 22:18:30 +0000",AI Tinkerers - Sign In <signin@aitinkerers.org>,0426 is your sign-in code for Self-hosting Models and Managing Token Spend,UNRELATED,IGNORED,,yes,0
t166jk3dt7mm,"Thu, 13 Aug 2026 22:19:38 -0700",Michael Walker <michael@horustech.dev>,Fwd: Your incident INC-GSAFSD21487803 requires a response,UNRELATED,IGNORED,,yes,5
c82n9420lek6,"Thu, 13 Aug 2026 22:24:12 +0000",AI Tinkerers - San Diego <messages@mail.aitinkerers.org>,Action needed: finish your profile for Self-hosting Models Token Spend,UNRELATED,IGNORED,,yes,0
h3ebavfeg9ij,"Thu, 13 Aug 2026 22:25:12 +0000",AI Tinkerers - Post-Training <post-training@mail.aitinkerers,"Top AI Demos #39: AI SEO Engines, Agent Memory Attacks, and Hardware AI",UNRELATED,IGNORED,,yes,0
ovhlbgfef773,"Thu, 13 Aug 2026 22:25:32 +0000",AI Tinkerers - San Diego <messages@mail.aitinkerers.org>,🎉 Your QR Code for Self-hosting Models and  Managing Token Spend (QR Code Inside) 🎉,UNRELATED,IGNORED,,yes,0
6uatihtu0o3c,"Thu, 13 Aug 2026 22:25:41 +0000",Ashley Ingram <ashley@hq.aitinkerers.org>,"Invitation: Self-hosting Models and Managing Token Spend @ Thu Aug 20, 2026 6pm - 9pm (PDT) (stevan@",UNRELATED,IGNORED,,yes,1
v058abulnl0k,"Thu, 13 Aug 2026 22:32:39 +0000",Michael Walker <michael@horustech.dev>,Horus Technology response: Scaling CTDL xTRA Platform RFP,UNRELATED,IGNORED,,yes,3
4soe9nenigvt,"Wed, 12 Aug 2026 15:13:22 -0700",Stevan Kassis <stevan@horustech.dev>,Fwd: California Public Records Act Request – SOQ f or Senate Bill 1383 Recordkeeping & Compliance So,FOIA_RESPONSE,FLAGGED_FOR_REVIEW,,yes,3
AMAZON_SES_S,"Wed, 12 Aug 2026 21:28:43 +0000",Amazon Web Services <no-reply-aws@amazon.com>,Amazon SES Setup Notification,UNRELATED,IGNORED,,NO,0
7n9ek6tj2kua,"Wed, 12 Aug 2026 21:31:03 +0000",noreply@horustech.dev,Notification of Award: RFP 739-SL3732580 - AI-Enhanced Dictation and Transcription Solution,AWARD_NOTICE,AWARD_RECORDED,06b56638-1a45-4a36-9a1f-4edb6ae524ae,NO,0
1il46260fa68,"Wed, 12 Aug 2026 21:32:41 +0000",noreply@horustech.dev,Notification of Award: RFP 739-SL3732580 - AI-Enhanced Dictation and Transcription Solution,AWARD_NOTICE,AWARD_RECORDED,06b56638-1a45-4a36-9a1f-4edb6ae524ae,NO,0
g9o1shgjkj52,"Wed, 12 Aug 2026 21:39:13 +0000",noreply@horustech.dev,Notification of Award: RFP 739-SL3732580 - AI-Enhanced Dictation and Transcription Solution,AWARD_NOTICE,AWARD_RECORDED,06b56638-1a45-4a36-9a1f-4edb6ae524ae,NO,0
1dc7bjgbej5n,"Wed, 12 Aug 2026 21:41:59 +0000",noreply@horustech.dev,Notification of Award: RFP 739-SL3732580 - AI-Enhanced Dictation and Transcription Solution,AWARD_NOTICE,AWARD_RECORDED,06b56638-1a45-4a36-9a1f-4edb6ae524ae,yes,0
d5r16q0ba2dc,"Wed, 12 Aug 2026 21:47:48 +0000",noreply@horustech.dev,Notification of Award: RFP 739-SL3732580 - AI-Enhanced Dictation and Transcription Solution,AWARD_NOTICE,AWARD_RECORDED,06b56638-1a45-4a36-9a1f-4edb6ae524ae,yes,0
2h4gctchabit,"Wed, 12 Aug 2026 22:04:10 +0000",noreply@horustech.dev,Notification of Award: RFP 739-SL3732580 - AI-Enhanced Dictation and Transcription Solution,AWARD_NOTICE,AWARD_RECORDED,06b56638-1a45-4a36-9a1f-4edb6ae524ae,yes,0
bms4dof3oaau,"Wed, 12 Aug 2026 22:34:06 GMT",Google Takeout <no-reply@accounts.google.com>,Archive of Google data requested,UNRELATED,IGNORED,,NO,0
8qt936h2tqit,"Wed, 12 Aug 2026 22:34:29 +0000",Google Takeout <noreply@google.com>,Your Google data is ready to download,UNRELATED,IGNORED,,NO,0
